N,Event,XY,Period
52,Duelo ARG,104;295,Segundo tiempo
74,Sin posesión,,Segundo tiempo
2,Pérdida no forzada ARG,194;330,Segundo tiempo
2,Entra ARG,,Segundo tiempo
2,Sale ARG,,Segundo tiempo
18,Saque de arco CRC,6;345,Segundo tiempo
13,Intercepción ARG,167;155,Segundo tiempo
34,Posesión defensiva ARG,,Segundo tiempo
62,Pase ARG,78;182 78;373,Segundo tiempo
58,Posesión ofensiva ARG,,Segundo tiempo
42,Recepción ARG,82;376,Segundo tiempo
75,Sin posesión,,Segundo tiempo
31,Ataque ARG,84;378,Segundo tiempo
19,Saque de arco CRC,8;294,Segundo tiempo
11,Saque de arco ARG,193;270,Segundo tiempo
59,Posesión ofensiva ARG,,Segundo tiempo
53,Duelo ARG,197;343,Segundo tiempo
63,Pase ARG,194;351 72;372,Segundo tiempo
14,Intercepción CRC,77;40,Segundo tiempo
76,Sin posesión,,Segundo tiempo
20,Saque de arco CRC,194;345,Segundo tiempo
19,Posesión ofensiva CRC,,Segundo tiempo
35,Posesión defensiva ARG,,Segundo tiempo
33,Recuperación ARG,16;17,Segundo tiempo
77,Sin posesión,,Segundo tiempo
64,Pase ARG,16;10 79;10,Segundo tiempo
65,Pase ARG,82;13 6;290,Segundo tiempo
60,Posesión ofensiva ARG,,Segundo tiempo
43,Recepción ARG,6;291,Segundo tiempo
78,Sin posesión,,Segundo tiempo
32,Ataque ARG,65;333,Segundo tiempo
34,Recuperación ARG,194;359,Segundo tiempo
61,Posesión ofensiva ARG,,Segundo tiempo
79,Sin posesión,,Segundo tiempo
54,Duelo ARG,149;338,Segundo tiempo
24,Recuperación CRC,61;58,Segundo tiempo
35,Recuperación ARG,194;343,Segundo tiempo
62,Posesión ofensiva ARG,,Segundo tiempo
66,Pase ARG,192;332 186;274,Segundo tiempo
36,Posesión defensiva ARG,,Segundo tiempo
44,Recepción ARG,114;368,Segundo tiempo
67,Pase ARG,194;180 101;354,Segundo tiempo
15,Intercepción CRC,95;58,Segundo tiempo
80,Sin posesión,,Segundo tiempo
36,Recuperación ARG,112;360,Segundo tiempo
63,Posesión ofensiva ARG,,Segundo tiempo
81,Sin posesión,,Segundo tiempo
33,Ataque ARG,117;372 15;426,Segundo tiempo
21,Saque de arco CRC,194;316,Segundo tiempo
14,Intercepción ARG,6;123,Segundo tiempo
37,Posesión defensiva ARG,,Segundo tiempo
82,Sin posesión,,Segundo tiempo
3,Pérdida no forzada ARG,41;192,Segundo tiempo
37,Recuperación ARG,6;153,Segundo tiempo
38,Posesión defensiva ARG,,Segundo tiempo
68,Pase ARG,6;187 24;304,Segundo tiempo
45,Recepción ARG,56;316,Segundo tiempo
83,Sin posesión,,Segundo tiempo
55,Duelo ARG,66;313,Segundo tiempo
25,Recuperación CRC,155;73,Segundo tiempo
8,Control sin oposición CRC,4;95,Segundo tiempo
25,Posesión defensiva CRC,,Segundo tiempo
21,Pase CRC,8;107 6;83,Segundo tiempo
13,Recepción CRC,5;73,Segundo tiempo
22,Pase CRC,7;79 197;221,Segundo tiempo
39,Posesión defensiva ARG,,Segundo tiempo
15,Intercepción ARG,17;130,Segundo tiempo
69,Pase ARG,8;177 7;262,Segundo tiempo
46,Recepción ARG,6;266,Segundo tiempo
70,Pase ARG,6;254 194;291,Segundo tiempo
47,Recepción ARG,192;299,Segundo tiempo
71,Pase ARG,194;314 194;253,Segundo tiempo
48,Recepción ARG,194;244,Segundo tiempo
72,Pase ARG,194;258 5;303,Segundo tiempo
49,Recepción ARG,24;345,Segundo tiempo
56,Duelo ARG,66;316,Segundo tiempo
84,Sin posesión,,Segundo tiempo
34,Ataque ARG,82;325 141;428,Segundo tiempo
3,Entra CRC,,Segundo tiempo
3,Sale CRC,,Segundo tiempo
5,Saque del medio CRC,,Segundo tiempo
20,Posesión ofensiva CRC,,Segundo tiempo
23,Pase CRC,8;269 5;209,Segundo tiempo
14,Recepción CRC,18;207,Segundo tiempo
64,Posesión ofensiva ARG,,Segundo tiempo
38,Recuperación ARG,194;208,Segundo tiempo
73,Pase ARG,196;204 194;174,Segundo tiempo
50,Recepción ARG,194;179,Segundo tiempo
74,Pase ARG,177;173 78;373,Segundo tiempo
85,Sin posesión,,Segundo tiempo
22,Saque de arco CRC,190;341,Segundo tiempo
12,Saque de arco ARG,8;135,Segundo tiempo
40,Posesión defensiva ARG,,Segundo tiempo
75,Pase ARG,75;174 192;308,Segundo tiempo
16,Intercepción CRC,7;103,Segundo tiempo
51,Recepción ARG,193;301,Segundo tiempo
76,Pase ARG,194;286 194;225,Segundo tiempo
52,Recepción ARG,192;219,Segundo tiempo
57,Duelo ARG,172;236,Segundo tiempo
86,Sin posesión,,Segundo tiempo
58,Duelo ARG,142;330,Segundo tiempo
35,Ataque ARG,143;345 121;430,Segundo tiempo
23,Saque de arco CRC,194;322,Segundo tiempo
13,Saque de arco ARG,5;295,Segundo tiempo
65,Posesión ofensiva ARG,,Segundo tiempo
87,Sin posesión,,Segundo tiempo
26,Posesión defensiva CRC,,Segundo tiempo
59,Duelo ARG,49;316,Segundo tiempo
26,Recuperación CRC,150;76,Segundo tiempo
88,Sin posesión,,Segundo tiempo
41,Posesión defensiva ARG,,Segundo tiempo
39,Recuperación ARG,59;193,Segundo tiempo
24,Duelo CRC,194;191,Segundo tiempo
77,Pase ARG,194;177 194;221,Segundo tiempo
89,Sin posesión,,Segundo tiempo
53,Recepción ARG,192;217,Segundo tiempo
27,Posesión defensiva CRC,,Segundo tiempo
27,Recuperación CRC,14;194,Segundo tiempo
25,Duelo CRC,25;180,Segundo tiempo
21,Posesión ofensiva CRC,,Segundo tiempo
26,Duelo CRC,118;292,Segundo tiempo
27,Duelo CRC,167;371,Segundo tiempo
40,Recuperación ARG,26;30,Segundo tiempo
90,Sin posesión,,Segundo tiempo
2,Córner CRC,,Segundo tiempo
22,Posesión ofensiva CRC,,Segundo tiempo
91,Sin posesión,,Segundo tiempo
2,Ataque CRC,189;392 62;428,Segundo tiempo
14,Saque de arco ARG,6;316,Segundo tiempo
66,Posesión ofensiva ARG,,Segundo tiempo
78,Pase ARG,11;293 118;226,Segundo tiempo
92,Sin posesión,,Segundo tiempo
17,Control sin oposición ARG,146;181,Segundo tiempo
42,Posesión defensiva ARG,,Segundo tiempo
79,Pase ARG,98;174 8;216,Segundo tiempo
93,Sin posesión,,Segundo tiempo
41,Recuperación ARG,100;268,Segundo tiempo
67,Posesión ofensiva ARG,,Segundo tiempo
80,Pase ARG,21;275 138;290,Segundo tiempo
54,Recepción ARG,192;286,Segundo tiempo
60,Duelo ARG,192;290,Segundo tiempo
94,Sin posesión,,Segundo tiempo
61,Duelo ARG,149;339,Segundo tiempo
28,Recuperación CRC,62;64,Segundo tiempo
2,Bote a tierra,,Segundo tiempo
24,Saque de arco CRC,194;308,Segundo tiempo
16,Intercepción ARG,6;84,Segundo tiempo
43,Posesión defensiva ARG,,Segundo tiempo
81,Pase ARG,153;175 196;235,Segundo tiempo
68,Posesión ofensiva ARG,,Segundo tiempo
55,Recepción ARG,179;302,Segundo tiempo
95,Sin posesión,,Segundo tiempo
36,Ataque ARG,131;352 125;428,Segundo tiempo
25,Saque de arco CRC,194;278,Segundo tiempo
23,Posesión ofensiva CRC,,Segundo tiempo
24,Pase CRC,194;269 177;202,Segundo tiempo
28,Posesión defensiva CRC,83;14 43;269 7;262 196;232 99;13 150;225 5;30 6;25 57;0 7;27 97;30 97;11 166;57 165;78 197;139 6;164 8;115 6;352 4;384 194;273 194;254 8;107 6;83 194;314 194;253 194;286 194;225 93;228 194;322 196;316 196;254,Segundo tiempo
28,Duelo CRC,77;287,Segundo tiempo
44,Posesión defensiva ARG,,Segundo tiempo
29,Duelo CRC,109;325,Segundo tiempo
42,Recuperación ARG,129;66,Segundo tiempo
96,Sin posesión,,Segundo tiempo
62,Duelo ARG,105;116,Segundo tiempo
29,Recuperación CRC,98;286,Segundo tiempo
18,Control sin oposición ARG,5;210,Segundo tiempo
45,Posesión defensiva ARG,,Segundo tiempo
69,Posesión ofensiva ARG,,Segundo tiempo
82,Pase ARG,8;194 196;259,Segundo tiempo
56,Recepción ARG,194;265,Segundo tiempo
97,Sin posesión,,Segundo tiempo
30,Recuperación CRC,5;132,Segundo tiempo
5,Despeje CRC,39;85,Segundo tiempo
19,Control sin oposición ARG,6;304,Segundo tiempo
70,Posesión ofensiva ARG,,Segundo tiempo
83,Pase ARG,6;300 5;231,Segundo tiempo
57,Recepción ARG,8;226,Segundo tiempo
98,Sin posesión,,Segundo tiempo
37,Ataque ARG,101;268,Segundo tiempo
26,Saque de arco CRC,194;290,Segundo tiempo
17,Intercepción ARG,38;89,Segundo tiempo
46,Posesión defensiva ARG,,Segundo tiempo
71,Posesión ofensiva ARG,,Segundo tiempo
84,Pase ARG,20;209 5;307,Segundo tiempo
99,Sin posesión,,Segundo tiempo
17,Intercepción CRC,157;61,Segundo tiempo
20,Control sin oposición ARG,76;262,Segundo tiempo
72,Posesión ofensiva ARG,,Segundo tiempo
85,Pase ARG,93;228 194;322,Segundo tiempo
58,Recepción ARG,193;328,Segundo tiempo
86,Pase ARG,196;316 196;254,Segundo tiempo
59,Recepción ARG,193;248,Segundo tiempo
47,Posesión defensiva ARG,,Segundo tiempo
73,Posesión ofensiva ARG,,Segundo tiempo
87,Pase ARG,110;207 62;370,Segundo tiempo
60,Recepción ARG,58;368,Segundo tiempo
100,Sin posesión,,Segundo tiempo
38,Ataque ARG,66;368 88;427,Segundo tiempo
43,Recuperación ARG,78;332,Segundo tiempo
39,Ataque ARG,145;376 72;436,Segundo tiempo
9,Control sin oposición CRC,177;40,Segundo tiempo
29,Posesión defensiva CRC,,Segundo tiempo
30,Duelo CRC,196;51,Segundo tiempo
31,Duelo CRC,196;110,Segundo tiempo
74,Posesión ofensiva ARG,,Segundo tiempo
44,Recuperación ARG,6;299,Segundo tiempo
101,Sin posesión,,Segundo tiempo
40,Ataque ARG,75;330 114;456,Segundo tiempo
15,Recepción CRC,,Segundo tiempo
12,Córner ARG,,Segundo tiempo
75,Posesión ofensiva ARG,,Segundo tiempo
88,Pase ARG,194;369 81;363,Segundo tiempo
18,Intercepción CRC,99;41,Segundo tiempo
61,Recepción ARG,58;338,Segundo tiempo
89,Pase ARG,4;305 4;264,Segundo tiempo
62,Recepción ARG,9;266,Segundo tiempo
63,Duelo ARG,45;265,Segundo tiempo
